model,fold,train_rows,validation_rows,mae,rmse,mape,smape
random_forest,1,7404,7401,277.4557015174135,394.67612598269113,0.9172694085199464,0.9175526239118239
extra_trees,1,7404,7401,275.4362491321693,394.2414590015303,0.9062220775089317,0.9061775480256405
hist_gradient_boosting,1,7404,7401,284.77065650267775,401.7179303372659,0.9433822780444255,0.9428671334018313
random_forest,2,14805,7401,310.99851543049505,515.3811369076454,0.997979539117538,0.991991791946468
extra_trees,2,14805,7401,327.3383020862453,548.240376541564,1.0421942798076516,1.0358774946012024
hist_gradient_boosting,2,14805,7401,313.93256460411084,515.6651070276062,1.01038176721088,1.0034256288768382
random_forest,3,22206,7401,372.31432897528884,569.5746869143943,1.0688751872041011,1.070421588148911
extra_trees,3,22206,7401,361.2887646572492,562.7966721003553,1.0418578538188437,1.0438693467267934
hist_gradient_boosting,3,22206,7401,372.2048909221669,577.3758989221767,1.0637098425086717,1.0651556670741216
random_forest,4,29607,7401,264.3241050955203,421.37043017149176,0.7734770008967723,0.7726096038698891
extra_trees,4,29607,7401,250.97840315548976,399.77810275779825,0.7344128196211602,0.7328262248618534
hist_gradient_boosting,4,29607,7401,270.67757536091466,427.841385045059,0.777003939481983,0.7757818170816064
random_forest,5,37008,7401,242.95243370076815,358.79723980213384,0.7767813864815616,0.7762160326762949
extra_trees,5,37008,7401,231.04984683579818,341.6155228732471,0.7343635235343605,0.7333262157490585
hist_gradient_boosting,5,37008,7401,240.49235083655003,352.43931541504276,0.771229817936641,0.7714136835641215
